province,year,jan_sum,jan_mean,jan_percentage_light,feb_sum,feb_mean,feb_percentage_light,mar_sum,mar_mean,mar_percentage_light,apr_sum,apr_mean,apr_percentage_light,may_sum,may_mean,may_percentage_light,jun_sum,jun_mean,jun_percentage_light,jul_sum,jul_mean,jul_percentage_light,aug_sum,aug_mean,aug_percentage_light,sept_sum,sept_mean,sept_percentage_light,oct_sum,oct_mean,oct_percentage_light,nov_sum,nov_mean,nov_percentage_light,dec_sum,dec_mean,dec_percentage_light,avg_sum_of_intensity,avg_mean,sum_of_percentage_light,GDPR
north_west,2017,93663.0,0.096,0.00277,119086.0,0.122,0.00297,118543.0,0.122,0.00308,132334,0.136,0.00154,136538,0.14,0.00267,149402,0.153,0.00246,139338,0.143,0.00369,161230,0.165,0.00349,140069.0,0.144,0.00246,129015.0,0.132,0.00185,139497.0,0.143,0.00328,116148.0,0.119,0.00215,131239.0,0.1346,0.032,301476.6058
north_west,2018,122901.0,0.126,0.00205,108170.0,0.111,0.00103,123278.0,0.126,0.00164,135213,0.139,0.00318,145338,0.149,0.00369,139793,0.143,0.00287,131018,0.134,0.00185,125205,0.128,0.00277,163332.0,0.168,0.00492,130808.0,0.134,0.00267,136211.0,0.14,0.00226,111658.0,0.115,0.00215,131077.0,0.1344,0.031,313644.9386
north_west,2019,117109.0,0.12,0.00195,118418.0,0.121,0.00195,113890.0,0.117,0.00174,122216,0.125,0.00297,138071,0.142,0.00297,140686,0.144,0.00236,140591,0.144,0.00246,140403,0.144,0.00113,155058.0,0.159,0.00256,139356.0,0.143,0.00195,121444.0,0.125,0.00205,142891.0,0.147,0.00318,132511.0,0.1359,0.027,329362.767
gauteng,2012,412093.0,2.478,0.07898,412093.0,2.478,0.07898,412093.0,2.478,0.07898,422930,2.543,0.08719,441353,2.654,0.10223,406693,2.446,0.08659,442037,2.658,0.10163,437805,2.633,0.07878,420001.0,2.526,0.07878,354815.0,2.134,0.05773,409898.0,2.465,0.07096,373305.0,2.245,0.0469,412093.0,2.4782,0.948,1101413.701
gauteng,2013,383892.0,2.308,0.06675,409086.0,2.46,0.05893,431424.0,2.594,0.07396,451913,2.718,0.09862,453129,2.725,0.10824,480753,2.891,0.1359,473263,2.846,0.11305,445137,2.677,0.10283,514343.0,3.093,0.14312,461845.0,2.777,0.09201,418159.0,2.515,0.06976,378256.0,2.275,0.06134,441767.0,2.6566,1.125,1198560.261
gauteng,2014,447061.0,2.688,0.11486,391271.0,2.353,0.0469,371809.0,2.236,0.03728,460478,2.769,0.10163,453857,2.729,0.09862,466405,2.805,0.11125,470422,2.829,0.10523,501491,3.016,0.1329,442845.0,2.663,0.05773,497965.0,2.994,0.09802,413581.0,2.487,0.06494,448552.0,2.697,0.07878,447145.0,2.6888,1.048,1301618.084
gauteng,2015,411316.0,2.473,0.05412,381367.0,2.293,0.05111,431600.0,2.595,0.07757,428856,2.579,0.06915,473164,2.845,0.0914,470184,2.827,0.10403,445001,2.676,0.06795,458749,2.759,0.06675,425399.0,2.558,0.0445,441285.0,2.654,0.04209,449443.0,2.703,0.07276,400237.0,2.407,0.05051,434717.0,2.6141,0.792,1382408.793
gauteng,2016,400549.0,2.409,0.0469,377239.0,2.268,0.03608,400217.0,2.407,0.05111,453830,2.729,0.04209,459201,2.761,0.07336,444600,2.674,0.06855,450898,2.711,0.07336,486944,2.928,0.10584,463868.0,2.789,0.07036,450657.0,2.71,0.07336,426644.0,2.566,0.06735,418603.0,2.517,0.05412,436104.0,2.6224,0.762,1497300.64
gauteng,2017,393524.0,2.366,0.05051,429327.0,2.582,0.03127,428094.0,2.574,0.0463,451105,2.713,0.03909,462225,2.78,0.06555,489730,2.945,0.07216,470762,2.831,0.07757,503679,3.029,0.09321,454014.0,2.73,0.03728,418106.0,2.514,0.04751,452651.0,2.722,0.05111,394635.0,2.373,0.0427,445654.0,2.6799,0.654,1593873.512
gauteng,2018,447921.0,2.694,0.04209,381616.0,2.295,0.03067,420750.0,2.53,0.03187,437078,2.628,0.05232,469325,2.822,0.05953,458169,2.755,0.06976,441952,2.658,0.05051,413691,2.488,0.03428,487783.0,2.933,0.06735,431636.0,2.596,0.03668,457916.0,2.754,0.03548,373351.0,2.245,0.03969,435099.0,2.6165,0.55,1672744.564
gauteng,2019,408715.0,2.458,0.03548,433199.0,2.605,0.03728,401578.0,2.415,0.02766,429574,2.583,0.03127,457752,2.753,0.04029,486254,2.924,0.05532,471948,2.838,0.04871,484004,2.911,0.03067,466139.0,2.803,0.04029,452086.0,2.719,0.02526,401214.0,2.413,0.02045,494949.0,2.976,0.03909,448951.0,2.6998,0.432,1750062.467
mpumalanga,2012,129436.0,0.195,0.0161,129436.0,0.195,0.0161,129436.0,0.195,0.0161,120324,0.181,0.00889,124572,0.188,0.01085,138799,0.209,0.01718,154364,0.233,0.02109,199252,0.3,0.04309,128255.0,0.193,0.01356,106510.0,0.16,0.0122,99577.0,0.15,0.00949,93271.0,0.141,0.00859,129436.0,0.195,0.193,253985.6979
mpumalanga,2013,97795.0,0.147,0.00663,110280.0,0.166,0.01055,119042.0,0.179,0.00949,137003,0.206,0.01235,138958,0.209,0.01356,150913,0.227,0.0119,144018,0.217,0.01476,174141,0.262,0.02365,183148.0,0.276,0.02245,158143.0,0.238,0.01748,123355.0,0.186,0.01205,86377.0,0.13,0.00588,135264.0,0.2036,0.161,268466.8399
mpumalanga,2014,116045.0,0.175,0.00889,115365.0,0.174,0.01115,105748.0,0.159,0.00753,137310,0.207,0.0125,138400,0.209,0.01612,153159,0.231,0.01522,161873,0.244,0.01371,209454,0.316,0.02772,205875.0,0.31,0.03977,163646.0,0.247,0.01868,117290.0,0.177,0.0104,103754.0,0.156,0.00663,143993.0,0.2171,0.188,289155.6829
mpumalanga,2015,126965.0,0.191,0.0107,120689.0,0.182,0.01009,155730.0,0.235,0.01597,114401,0.172,0.00753,135995,0.205,0.00889,157556,0.237,0.01718,148387,0.224,0.01612,154467,0.233,0.02245,121347.0,0.183,0.01356,139988.0,0.211,0.01537,146943.0,0.221,0.01627,110585.0,0.167,0.00874,136088.0,0.2051,0.163,305672.8829
mpumalanga,2016,102524.0,0.154,0.00663,100440.0,0.151,0.00573,105127.0,0.158,0.00844,133249,0.201,0.01115,129763,0.196,0.011,132016,0.199,0.0116,141541,0.213,0.01175,175233,0.264,0.01974,139394.0,0.21,0.01446,136266.0,0.205,0.01115,107799.0,0.162,0.01145,114898.0,0.173,0.00949,126521.0,0.1905,0.133,325392.4439
mpumalanga,2017,119314.0,0.18,0.00874,139366.0,0.21,0.00964,130804.0,0.197,0.01175,128921,0.194,0.00663,138799,0.209,0.00964,153701,0.232,0.01055,158699,0.239,0.01024,171872,0.259,0.01778,146123.0,0.22,0.01085,136402.0,0.206,0.00949,127190.0,0.192,0.00738,121003.0,0.182,0.00753,139350.0,0.21,0.12,348987.2201
mpumalanga,2018,136311.0,0.205,0.00738,103139.0,0.155,0.00829,140882.0,0.212,0.00588,148372,0.224,0.01898,142440,0.215,0.01115,144987,0.218,0.0104,140024,0.211,0.00919,154767,0.233,0.01702,163890.0,0.247,0.01371,138670.0,0.209,0.0107,147915.0,0.223,0.00934,112081.0,0.169,0.00678,139456.0,0.2101,0.129,366838.5853
mpumalanga,2019,104962.0,0.158,0.00723,132450.0,0.2,0.00829,109972.0,0.166,0.00678,122210,0.184,0.00783,141149,0.213,0.0104,148664,0.224,0.00753,166812,0.251,0.01145,163664,0.247,0.00904,161051.0,0.243,0.01401,136419.0,0.206,0.00799,132118.0,0.199,0.00783,152264.0,0.229,0.00844,139311.0,0.21,0.107,381914.7948
limpopo,2012,86425.0,0.099,0.00133,86425.0,0.099,0.00133,86425.0,0.099,0.00133,87038,0.1,0.00057,91888,0.105,0.00172,88768,0.102,0.00092,100943,0.116,0.00161,113432,0.13,0.00402,81461.0,0.094,0.00057,64188.0,0.074,0.00069,74618.0,0.086,0.00161,75489.0,0.087,0.00023,86425.0,0.0992,0.016,238518.0268
limpopo,2013,76883.0,0.088,0.00126,74663.0,0.086,0.00069,88885.0,0.102,0.00103,97217,0.112,0.00149,100621,0.116,0.00161,114586,0.132,0.00184,92976,0.107,0.0023,116989,0.134,0.00436,121641.0,0.14,0.00402,119964.0,0.138,0.00264,94250.0,0.108,0.00207,70279.0,0.081,0.00046,97413.0,0.112,0.024,258195.1809
